id,ts_iso,cafe,user,txhash
1,"2025-11-09T08:40:59.309Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x880342fa0399807a222ceaee2d160ff7ae6f624e9cc954103a13898f9d491ce7
2,"2025-11-09T19:54:17.344Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xe0491afbb0f5b87fadb8252b198c319452609829a33c0ba1370af921e4dc0159
3,"2025-11-17T20:09:41.609Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0xe0491afbb0f5b87fadb8252b198c319452609829a33c0ba1370af921e4dc0159
4,"2025-11-17T20:13:18.091Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x713dc0ffcdac199d745f8e27d8c66b606b9b1ba018569837be5159e0bffd1713
5,"2025-11-18T18:17:15.385Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x833d24e3be9a726cceec2c920b3cbee7cfe2693f5da53684623d44c2826a7a2a
6,"2025-11-18T18:17:48.170Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x03e827262be898a37fa6e47cd0c6fd7f848c0f926c4df20888a499b609c05812
7,"2025-11-18T18:18:30.710Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x67420bc086cd624ccc93f1c70c28bb7f2f7b4790b703772baa0f55b377711919
8,"2025-11-18T18:18:38.249Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x039725f030295fa13924c92361d6b44d1bb807f644b12e20404279f78fc8e5ea
9,"2025-11-18T18:19:24.236Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x2e22ddca3c345f1f31c9218cbb953e0b9c1246c69099e06df8f5359502f1647d
10,"2025-11-18T18:30:34.178Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0xcbb1d5d6d837746c8adaca15b8c60064e4d9efe3dc585a33f3aedea192f6a76b
11,"2025-11-19T18:11:01.306Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x9e339e1ce2a6d80469bd53960bf1d53186a154d120ba86d9aad5f3911288782f
12,"2025-11-19T18:15:52.158Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x9f5760f2862dbc63015c80600e479a57765f19ffc23a7a9598adf5811b94d01b
13,"2025-11-20T19:41:46.577Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0xc32ec826508c4d259264f62f4826c4bdcd9368ede52cae8d26beb2cfb2338b48
14,"2025-11-20T20:11:24.323Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x8af84db926ffc6f60e8defe8cd579e93c5392106642f6d1e91cceccda7834bba
15,"2025-11-20T21:42:56.427Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x833d24e3be9a726cceec2c920b3cbee7cfe2693f5da53684623d44c2826a7a2a
16,"2025-11-21T14:37:49.949Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x03e827262be898a37fa6e47cd0c6fd7f848c0f926c4df20888a499b609c05812
17,"2025-11-21T14:49:06.233Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x1da3748b5c49d967256dac2975db8c200b7b556bc0f323f87ff65beb0bf0dce5
18,"2025-11-21T15:05:07.791Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0xec059a5cd334ccfef1e0623895d970404ae9901daaa6618ff3c0e4bb1c05ac59
19,"2025-11-21T16:21:57.025Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0x9e339e1ce2a6d80469bd53960bf1d53186a154d120ba86d9aad5f3911288782f
20,"2025-11-21T16:22:18.267Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0xf94fb9a2c6b0284277dcc70bbfe90779b2a912412ea73e544a0693681f2adac3
21,"2025-11-21T16:37:40.908Z",0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,0xf7ccd22e4bdc58a9461dae38932887546fe6c9bdecf30ec92a95f1410e73ca40
